education_score,coastal_detailed,town_size,coastal_type
-2.001725366,Large non-coastal town,Large,Non-coastal
-0.295645761,Smaller non-coastal town,Small,Non-coastal
1.00135873,Smaller non-coastal town,Small,Non-coastal
5.531986486,Large non-coastal town,Large,Non-coastal
8.629809538,Large non-coastal town,Large,Non-coastal
-3.639792553,Large non-coastal town,Large,Non-coastal
6.147536078,Large non-coastal town,Large,Non-coastal
4.536482226,Smaller non-coastal town,Small,Non-coastal
-2.284995953,Large non-coastal town,Large,Non-coastal
-4.851302162,Smaller non-coastal town,Small,Non-coastal
2.375010926,Smaller non-coastal town,Small,Non-coastal
-5.317624146,Large seaside town,Large,Seaside
4.323864549,Smaller non-coastal town,Small,Non-coastal
-3.008213363,Smaller non-coastal town,Small,Non-coastal
-2.650602856,Smaller seaside town,Small,Seaside
-1.979964028,Cities,Large,Other coastal
7.854161076,Large non-coastal town,Large,Non-coastal
2.10947E-4,Large non-coastal town,Large,Non-coastal
-1.60944439,Large non-coastal town,Large,Non-coastal
3.655602055,Smaller non-coastal town,Small,Non-coastal
-3.268292547,Large non-coastal town,Large,Non-coastal
-3.242825753,Large seaside town,Large,Seaside
-2.90361017,Smaller non-coastal town,Small,Non-coastal
0.379043714,Smaller non-coastal town,Small,Non-coastal
-3.220951054,Large non-coastal town,Large,Non-coastal
1.211313826,Smaller non-coastal town,Small,Non-coastal
-0.270585313,Large non-coastal town,Large,Non-coastal
-1.473308801,Large non-coastal town,Large,Non-coastal
8.45898E-4,Smaller non-coastal town,Small,Non-coastal
3.311754688,Smaller non-coastal town,Small,Non-coastal
-0.730642322,Smaller non-coastal town,Small,Non-coastal
4.42155333,Large non-coastal town,Large,Non-coastal
-0.004594232,Large non-coastal town,Large,Non-coastal
-1.346962322,Smaller non-coastal town,Small,Non-coastal
3.307546809,Large non-coastal town,Large,Non-coastal
-7.603865176,Smaller seaside town,Small,Seaside
1.245370201,Smaller non-coastal town,Small,Non-coastal
0.083500519,Large non-coastal town,Large,Non-coastal
1.710624166,Smaller non-coastal town,Small,Non-coastal
-6.328261488,Smaller non-coastal town,Small,Non-coastal
4.262292065,Large seaside town,Large,Seaside
